wl,n
0.761084106,2.357759
0.762665527,2.361879
0.764246826,2.365998
0.765828003,2.370114
0.767409119,2.374228
0.768990112,2.378339
0.770570984,2.382448
0.772151733,2.386555
0.773732483,2.390658
0.775312988,2.394759
0.776893433,2.398857
0.778473755,2.402951
0.780054077,2.407042
0.781634155,2.41113
0.783214172,2.415214
0.784794067,2.419294
0.786373901,2.423371
0.787953552,2.427444
0.789533081,2.431512
0.79111261,2.435577
0.792691956,2.439637
0.794271118,2.443692
0.795850281,2.447744
0.797429321,2.45179
0.799008179,2.455832
0.800586975,2.459869
0.802165649,2.463901
0.803744202,2.467928
0.805322632,2.471949
0.80690094,2.475966
0.808479126,2.479977
0.810057251,2.483982
0.811635193,2.487982
0.813213013,2.491976
0.814790771,2.495965
0.816368408,2.499948
0.817945923,2.503924
0.819523254,2.507895
0.821100586,2.511859
0.822677734,2.515817
0.8242547,2.519769
0.825831665,2.523715
0.827408386,2.527653
0.828985046,2.531586
0.830561646,2.535512
0.832138062,2.539431
0.833714355,2.543343
0.835290527,2.547248
0.836866577,2.551146
0.838442505,2.555037
0.840018372,2.558921
0.841594055,2.562798
0.843169617,2.566667
0.844744995,2.570529
0.846320313,2.574383
0.847895508,2.578231
0.849470581,2.58207
0.851045593,2.585902
0.852620422,2.589726
0.854195007,2.593543
0.855769653,2.597351
0.857344055,2.601151
0.858918335,2.604944
0.860492554,2.608729
0.862066589,2.612505
0.863640503,2.616273
0.865214355,2.620033
0.866787964,2.623785
0.868361511,2.627528
0.869934937,2.631263
0.871508179,2.634989
0.87308136,2.638707
0.874654419,2.642416
0.876227356,2.646117
0.87780011,2.649809
0.879372681,2.653492
0.88094519,2.657167
0.882517456,2.660832
0.884089722,2.664489
0.885661804,2.668137
0.887233765,2.671775
0.888805664,2.675405
0.890377319,2.679025
0.891948914,2.682637
0.893520325,2.686239
0.895091614,2.689831
0.896662781,2.693415
0.898233765,2.696989
0.899804688,2.700554
0.901375366,2.704109

wl,k
0.299510895,2.315671
0.301107483,2.327731
0.302704071,2.339882
0.30430069,2.352107
0.305897278,2.364394
0.307493866,2.376734
0.309090485,2.389118
0.310687073,2.401541
0.312283661,2.414001
0.31388028,2.426497
0.315476868,2.439031
0.317073456,2.451609
0.318670044,2.464244
0.320266632,2.476964
0.32186322,2.489793
0.323459808,2.50274
0.325056396,2.515814
0.326652954,2.529017
0.328249542,2.54235
0.32984613,2.555808
0.331442688,2.569387
0.333039246,2.583079
0.334635773,2.596876
0.33623233,2.610765
0.337828857,2.624735
0.339425385,2.63877
0.341021912,2.652853
0.342618439,2.666965
0.344214935,2.681083
0.345811462,2.695178
0.347407928,2.709205
0.349004425,2.723105
0.350600891,2.73684
0.352197357,2.750381
0.353793793,2.763706
0.355390259,2.776801
0.356986664,2.789653
0.358583099,2.802257
0.360179504,2.814608
0.361775909,2.826705
0.363372284,2.838548
0.364968658,2.850142
0.366565002,2.861491
0.368161346,2.872605
0.36975766,2.88349
0.371353973,2.89416
0.372950287,2.904627
0.37454657,2.914906
0.376142853,2.925016
0.377739075,2.934979
0.379335327,2.944821
0.380931549,2.954586
0.382527771,2.964328
0.384123932,2.974085
0.385720093,2.983889
0.387316223,2.993762
0.388912384,3.003725
0.390508484,3.013792
0.392104553,3.023977
0.393700623,3.03429
