wl,n
0.453,1.49964
0.454,1.49396
0.455,1.48791
0.456,1.48149
0.457,1.47467
0.458,1.46745
0.459,1.45981
0.460,1.45175
0.461,1.44325
0.462,1.43431
0.463,1.42492
0.464,1.41508
0.465,1.40478
0.466,1.39402
0.467,1.38280
0.468,1.37113
0.469,1.35901
0.470,1.34643
0.471,1.33342
0.472,1.31998
0.473,1.30611
0.474,1.29183
0.475,1.27714
0.476,1.26208
0.477,1.24664
0.478,1.23084
0.479,1.21471
0.480,1.19826
0.481,1.18150
0.482,1.16446
0.483,1.14717
0.484,1.12963
0.485,1.11188
0.486,1.09394
0.487,1.07582
0.488,1.05756
0.489,1.03918
0.490,1.02071
0.491,1.00216
0.492,0.98357
0.493,0.96497
0.494,0.94637
0.495,0.92780
0.496,0.90930
0.497,0.89088
0.498,0.87257
0.499,0.85439
0.500,0.83636
0.501,0.81852
0.502,0.80087
0.503,0.78345
0.504,0.76626
0.505,0.74933
0.506,0.73268
0.507,0.71631
0.508,0.70024
0.509,0.68448
0.510,0.66904
0.511,0.65394
0.512,0.63917
0.513,0.62474
0.514,0.61067
0.515,0.59694
0.516,0.58357
0.517,0.57055
0.518,0.55787
0.519,0.54555
0.520,0.53358
0.521,0.52195
0.522,0.51066
0.523,0.49970
0.524,0.48907
0.525,0.47876
0.526,0.46877
0.527,0.45909
0.528,0.44971
0.529,0.44062
0.530,0.43181
0.531,0.42329
0.532,0.41503
0.533,0.40704
0.534,0.39930
0.535,0.39180
0.536,0.38455
0.537,0.37752
0.538,0.37072
0.539,0.36413
0.540,0.35775
0.541,0.35158
0.542,0.34559
0.543,0.33979
0.544,0.33418
0.545,0.32873
0.546,0.32346
0.547,0.31835
0.548,0.31339
0.549,0.30858
0.550,0.30392
0.551,0.29940
0.552,0.29501
0.553,0.29075
0.554,0.28662
0.555,0.28260
0.556,0.27871
0.557,0.27492
0.558,0.27125
0.559,0.26768
0.560,0.26421
0.561,0.26083
0.562,0.25755
0.563,0.25436
0.564,0.25126
0.565,0.24824
0.566,0.24530
0.567,0.24245
0.568,0.23966
0.569,0.23695
0.570,0.23432
0.571,0.23175
0.572,0.22924
