wl,n
0.419,3.988
0.420,4.003
0.422,4.017
0.423,4.031
0.425,4.046
0.426,4.060
0.428,4.075
0.429,4.089
0.431,4.104
0.432,4.119
0.434,4.134
0.435,4.149
0.437,4.164
0.438,4.179
0.440,4.195
0.441,4.210
0.443,4.226
0.444,4.241
0.446,4.257
0.448,4.273
0.449,4.289
0.451,4.305
0.453,4.322
0.454,4.338
0.456,4.354
0.458,4.371
0.459,4.388
0.461,4.405
0.463,4.422
0.464,4.439
0.466,4.456
0.468,4.473
0.470,4.491
0.471,4.508
0.473,4.526
0.475,4.544
0.477,4.562
0.479,4.580
0.481,4.598
0.482,4.616
0.484,4.635
0.486,4.653
0.488,4.672
0.490,4.691
0.492,4.710
0.494,4.730
0.496,4.749
0.498,4.768
0.500,4.788
0.502,4.808
0.504,4.828
0.506,4.848
0.508,4.868
0.510,4.889
0.512,4.909
0.515,4.930
0.517,4.951
0.519,4.972
0.521,4.994
0.523,5.015
0.525,5.037
0.528,5.058
0.530,5.080
0.532,5.103
0.534,5.125
0.537,5.147
0.539,5.170
0.541,5.193
0.544,5.216
0.546,5.239
0.549,5.263
0.551,5.286
0.554,5.310
0.556,5.334
0.559,5.358
0.561,5.383
0.564,5.408
0.566,5.432
0.569,5.458
0.571,5.483
0.574,5.508
0.577,5.534
0.579,5.560
0.582,5.586
0.585,5.612
0.588,5.639
0.590,5.665
0.593,5.692
0.596,5.720
0.599,5.747
0.602,5.774
0.605,5.802
0.608,5.830
0.611,5.859
0.614,5.887
0.617,5.916
0.620,5.945
0.623,5.974
0.626,6.003
0.629,6.033
0.633,6.062
0.636,6.092
0.639,6.122
0.642,6.152
0.646,6.183
0.649,6.213
0.653,6.244
0.656,6.275
0.660,6.306
0.663,6.337
0.667,6.368
0.670,6.399
0.674,6.430
0.678,6.461
0.681,6.492
0.685,6.523
0.689,6.554
0.693,6.585
0.697,6.615
0.701,6.645
0.705,6.675
0.709,6.705
0.713,6.734
0.717,6.762
0.721,6.789
0.725,6.816
0.729,6.842
0.734,6.866
0.738,6.890
0.743,6.911
0.747,6.931
0.752,6.950
0.756,6.966
0.761,6.980
0.765,6.991
0.770,6.999
0.775,7.004
0.780,7.006
0.785,7.004
0.790,6.999
0.795,6.989
0.800,6.976
0.805,6.959
0.810,6.939
0.816,6.915
0.821,6.890
0.827,6.863
0.832,6.836
0.838,6.811
0.844,6.788
0.849,6.770
0.855,6.757
0.861,6.752
0.867,6.755
0.873,6.767
0.879,6.787
0.886,6.816
0.892,6.852
0.899,6.894
0.905,6.942
