wl,n
0.654,0.03242
0.655,0.03249
0.656,0.03255
0.657,0.03262
0.658,0.03269
0.659,0.03275
0.660,0.03282
0.661,0.03289
0.662,0.03296
0.663,0.03302
0.664,0.03309
0.665,0.03316
0.666,0.03323
0.667,0.03330
0.668,0.03336
0.669,0.03343
0.670,0.03350
0.671,0.03357
0.672,0.03364
0.673,0.03371
0.674,0.03378
0.675,0.03385
0.676,0.03392
0.677,0.03399
0.678,0.03407
0.679,0.03414
0.680,0.03421
0.681,0.03428
0.682,0.03435
0.683,0.03442
0.684,0.03450
0.685,0.03457
0.686,0.03464
0.687,0.03471
0.688,0.03479
0.689,0.03486
0.690,0.03493
0.691,0.03501
0.692,0.03508
0.693,0.03516
0.694,0.03523
0.695,0.03531
0.696,0.03538
0.697,0.03546
0.698,0.03553
0.699,0.03561
0.700,0.03568
0.701,0.03576
0.702,0.03583
0.703,0.03591
0.704,0.03599
0.705,0.03606
0.706,0.03614
0.707,0.03622
0.708,0.03629
0.709,0.03637
0.710,0.03645
0.711,0.03653
0.712,0.03660
0.713,0.03668
0.714,0.03676
0.715,0.03684
0.716,0.03692
0.717,0.03700
0.718,0.03707
0.719,0.03715
0.720,0.03723
0.721,0.03731
0.722,0.03739
0.723,0.03747
0.724,0.03755
0.725,0.03763
0.726,0.03771
0.727,0.03779
0.728,0.03788
0.729,0.03796
0.730,0.03804
0.731,0.03812
0.732,0.03820
0.733,0.03828
0.734,0.03836
0.735,0.03845
0.736,0.03853
0.737,0.03861
0.738,0.03869
0.739,0.03878
0.740,0.03886
0.741,0.03894
0.742,0.03903
0.743,0.03911
0.744,0.03919
0.745,0.03928
0.746,0.03936
0.747,0.03945
0.748,0.03953
0.749,0.03962
0.750,0.03970
0.751,0.03979
0.752,0.03987
0.753,0.03996
0.754,0.04004
0.755,0.04013
0.756,0.04021
0.757,0.04030
0.758,0.04038
0.759,0.04047
0.760,0.04056
0.761,0.04064
0.762,0.04073
0.763,0.04082
0.764,0.04091
0.765,0.04099
0.766,0.04108
0.767,0.04117
0.768,0.04126
0.769,0.04134
0.770,0.04143
0.771,0.04152
0.772,0.04161
0.773,0.04170
0.774,0.04179
0.775,0.04188
0.776,0.04196
0.777,0.04205
0.778,0.04214
0.779,0.04223
0.780,0.04232
0.781,0.04241
0.782,0.04250
0.783,0.04259
0.784,0.04268
0.785,0.04277
0.786,0.04287
0.787,0.04296
0.788,0.04305
0.789,0.04314
0.790,0.04323
0.791,0.04332
0.792,0.04341
0.793,0.04351
0.794,0.04360
0.795,0.04369
0.796,0.04378
0.797,0.04387
0.798,0.04397
0.799,0.04406
0.800,0.04415
0.801,0.04425
0.802,0.04434
0.803,0.04443
0.804,0.04453
0.805,0.04462
0.806,0.04472
0.807,0.04481
0.808,0.04490
0.809,0.04500
0.810,0.04509
0.811,0.04519
0.812,0.04528
0.813,0.04538
0.814,0.04547
0.815,0.04557
0.816,0.04566
0.817,0.04576
0.818,0.04586
0.819,0.04595
0.820,0.04605
0.821,0.04614
0.822,0.04624
0.823,0.04634
0.824,0.04643
0.825,0.04653
0.826,0.04663
0.827,0.04672
0.828,0.04682
0.829,0.04692
0.830,0.04702
0.831,0.04712
0.832,0.04721
0.833,0.04731
0.834,0.04741
0.835,0.04751
0.836,0.04761
0.837,0.04771
0.838,0.04780
0.839,0.04790
0.840,0.04800
0.841,0.04810
0.842,0.04820
0.843,0.04830
0.844,0.04840
0.845,0.04850
0.846,0.04860
0.847,0.04870
0.848,0.04880
0.849,0.04890
0.850,0.04900
0.851,0.04910
0.852,0.04921
0.853,0.04931
0.854,0.04941
0.855,0.04951
0.856,0.04961
0.857,0.04971
0.858,0.04981
0.859,0.04992
0.860,0.05002
0.861,0.05012
0.862,0.05022
0.863,0.05033
0.864,0.05043
0.865,0.05053
0.866,0.05063
0.867,0.05074
0.868,0.05084
0.869,0.05094
0.870,0.05105
0.871,0.05115
0.872,0.05126
0.873,0.05136
0.874,0.05146
0.875,0.05157
0.876,0.05167
0.877,0.05178
0.878,0.05188
0.879,0.05199
0.880,0.05209
0.881,0.05220
0.882,0.05230
0.883,0.05241
0.884,0.05252
0.885,0.05262
0.886,0.05273
0.887,0.05283
0.888,0.05294
0.889,0.05305
0.890,0.05315
0.891,0.05326
0.892,0.05337
0.893,0.05347
0.894,0.05358
0.895,0.05369
0.896,0.05379
0.897,0.05390
0.898,0.05401
0.899,0.05412
0.900,0.05423
0.901,0.05433

wl,k
0.299,0.93866
0.300,0.91714
0.301,0.89431
0.302,0.86928
0.303,0.84043
0.304,0.80455
0.305,0.75552
0.306,0.69071
0.307,0.62612
0.308,0.57100
0.309,0.52353
0.310,0.48144
0.311,0.44333
0.312,0.40846
0.313,0.37664
0.314,0.34830
0.315,0.32502
0.316,0.30997
0.317,0.30426
0.318,0.30488
0.319,0.30958
0.320,0.31764
0.321,0.32907
0.322,0.34423
0.323,0.36368
0.324,0.38799
0.325,0.41752
0.326,0.45209
0.327,0.49078
0.328,0.53213
0.329,0.57458
0.330,0.61685
0.331,0.65814
0.332,0.69798
0.333,0.73621
0.334,0.77277
0.335,0.80771
0.336,0.84113
0.337,0.87313
0.338,0.90381
0.339,0.93328
0.340,0.96163
0.341,0.98896
0.342,1.01534
0.343,1.04085
0.344,1.06555
0.345,1.08951
0.346,1.11277
0.347,1.13539
0.348,1.15741
0.349,1.17887
0.350,1.19980
0.351,1.22025
0.352,1.24023
0.353,1.25978
0.354,1.27892
0.355,1.29767
0.356,1.31606
0.357,1.33411
0.358,1.35183
0.359,1.36924
0.360,1.38636
0.361,1.40320
0.362,1.41977
0.363,1.43609
0.364,1.45216
0.365,1.46801
0.366,1.48363
0.367,1.49905
0.368,1.51426
0.369,1.52928
0.370,1.54411
0.371,1.55876
0.372,1.57324
0.373,1.58756
0.374,1.60172
0.375,1.61573
0.376,1.62959
0.377,1.64331
0.378,1.65689
0.379,1.67035
0.380,1.68367
0.381,1.69687
0.382,1.70996
0.383,1.72292
0.384,1.73578
0.385,1.74853
0.386,1.76118
0.387,1.77372
0.388,1.78617
0.389,1.79853
0.390,1.81079
0.391,1.82296
0.392,1.83504
0.393,1.84705
0.394,1.85896
0.395,1.87081
0.396,1.88257
0.397,1.89426
0.398,1.90587
0.399,1.91741
0.400,1.92889
0.401,1.94030
0.402,1.95164
0.403,1.96291
0.404,1.97413
0.405,1.98528
0.406,1.99638
0.407,2.00741
0.408,2.01839
0.409,2.02932
0.410,2.04019
0.411,2.05101
0.412,2.06178
0.413,2.07249
0.414,2.08316
0.415,2.09378
0.416,2.10435
0.417,2.11488
0.418,2.12536
0.419,2.13580
0.420,2.14619
0.421,2.15655
0.422,2.16686
0.423,2.17713
0.424,2.18736
0.425,2.19755
0.426,2.20771
0.427,2.21782
0.428,2.22790
0.429,2.23795
0.430,2.24796
0.431,2.25794
0.432,2.26788
0.433,2.27779
0.434,2.28766
0.435,2.29751
0.436,2.30732
0.437,2.31710
0.438,2.32686
0.439,2.33658
0.440,2.34627
0.441,2.35594
0.442,2.36558
0.443,2.37519
0.444,2.38477
0.445,2.39433
0.446,2.40386
0.447,2.41336
0.448,2.42284
0.449,2.43229
0.450,2.44172
0.451,2.45113
0.452,2.46051
0.453,2.46987
